"name","date","passed","msg"
"adjustc","2024-12-06T17:48:52-05:00","passed","text centering"
"adjustc","2024-12-06T17:48:52-05:00","passed","text centering"
"aton","2024-12-06T17:48:53-05:00","untested",""
"base","2024-12-06T17:48:53-05:00","passed","converting 10 got 2 expected 2"
"base","2024-12-06T17:48:53-05:00","passed","converting 1010 got 10 expected 10"
"base","2024-12-06T17:48:53-05:00","passed","converting 101010 got 42 expected 42"
"base","2024-12-06T17:48:54-05:00","passed","converting 10101010 got 170 expected 170"
"base","2024-12-06T17:48:54-05:00","passed","converting 1010101010 got 682 expected 682"
"base","2024-12-06T17:48:54-05:00","passed","converting 101010101010 got 2730 expected 2730"
"base","2024-12-06T17:48:54-05:00","passed","converting 2 got 10 expected 10"
"base","2024-12-06T17:48:54-05:00","passed","converting 10 got 1010 expected 1010"
"base","2024-12-06T17:48:54-05:00","passed","converting 42 got 101010 expected 101010"
"base","2024-12-06T17:48:54-05:00","passed","converting 170 got 10101010 expected 10101010"
"base","2024-12-06T17:48:54-05:00","passed","converting 682 got 1010101010 expected 1010101010"
"base","2024-12-06T17:48:55-05:00","passed","converting 2730 got 101010101010 expected 101010101010"
"base","2024-12-06T17:48:55-05:00","passed","converting 10 got 101 expected 101"
"base","2024-12-06T17:48:55-05:00","passed","converting 20 got 202 expected 202"
"base","2024-12-06T17:48:55-05:00","passed","converting 30 got 1010 expected 1010"
"base","2024-12-06T17:48:55-05:00","passed","converting 40 got 1111 expected 1111"
"base","2024-12-06T17:48:55-05:00","passed","converting 50 got 1212 expected 1212"
"base","2024-12-06T17:48:55-05:00","passed","converting 11 got 3 expected 3"
"base","2024-12-06T17:48:56-05:00","passed","converting 1212 got 50 expected 50"
"base","2024-12-06T17:48:56-05:00","passed","converting 123123 got 1755 expected 1755"
"base","2024-12-06T17:48:56-05:00","passed","converting 1111 got 1111 expected 1111"
"base","2024-12-06T17:48:56-05:00","passed","converting 10 got 11 expected 11"
"base","2024-12-06T17:48:56-05:00","passed","converting 10 got 100 expected 100"
"base","2024-12-06T17:48:56-05:00","passed","converting 10 got 1000 expected 1000"
"base","2024-12-06T17:48:56-05:00","passed","converting 10 got 10000 expected 10000"
"base2","2024-12-06T17:50:05-05:00","passed","checking for 10 in base 2 from value 2"
"base2","2024-12-06T17:50:05-05:00","passed","checking for 1010 in base 2 from value 10"
"base2","2024-12-06T17:50:05-05:00","passed","checking for 101010 in base 2 from value 42"
"base2","2024-12-06T17:50:05-05:00","passed","checking for 10101010 in base 2 from value 170"
"base2","2024-12-06T17:50:05-05:00","passed","checking for 1010101010 in base 2 from value 682"
"base2","2024-12-06T17:50:05-05:00","passed","checking for 101010101010 in base 2 from value 2730"
"bundle","2024-12-06T17:50:21-05:00","passed","'kittens','sit    ','three  '"
"c2s","2024-12-06T17:50:22-05:00","untested",""
"change","2024-12-06T17:50:22-05:00","passed","without trailing slash,expect ier==4, ier= 4"
"change","2024-12-06T17:50:22-05:00","passed","with trailing slash,expect ier==1,ier= 1"
"change","2024-12-06T17:50:22-05:00","passed","no new string, expect ier >= 7,ier= 7"
"change","2024-12-06T17:50:23-05:00","passed","null new string, expect ier == 1, ier= 1"
"change","2024-12-06T17:50:23-05:00","passed","no matching old string, expect ier == 0, ier= 0"
"change","2024-12-06T17:50:23-05:00","passed","check cumulative changes"
"chomp","2024-12-06T17:50:23-05:00","passed","token= a"
"chomp","2024-12-06T17:50:24-05:00","passed","token= b"
"chomp","2024-12-06T17:50:24-05:00","passed","token= ccc"
"chomp","2024-12-06T17:50:24-05:00","passed","token= ddd"
"chomp","2024-12-06T17:50:24-05:00","passed","token= x12"
"chomp","2024-12-06T17:50:25-05:00","passed","token= Z1"
"chomp","2024-12-06T17:50:25-05:00","passed","token= ab"
"chomp","2024-12-06T17:50:25-05:00","passed","token= cd"
"chomp","2024-12-06T17:50:26-05:00","passed","token= ef"
"clip","2024-12-06T17:50:26-05:00","passed","clip string test 1"
"clip","2024-12-06T17:50:26-05:00","passed","clip string test 2"
"clip","2024-12-06T17:50:27-05:00","passed","clip string test 3"
"clip","2024-12-06T17:50:27-05:00","passed","clip string test 4"
"clip","2024-12-06T17:50:27-05:00","passed","user-specified character"
"clip","2024-12-06T17:50:27-05:00","passed","multi-character set"
"codebase","2024-12-06T17:50:28-05:00","passed","checking for 10 in base 2 from value 2"
"codebase","2024-12-06T17:50:28-05:00","passed","checking for 1010 in base 2 from value 10"
"codebase","2024-12-06T17:50:28-05:00","passed","checking for 101010 in base 2 from value 42"
"codebase","2024-12-06T17:50:28-05:00","passed","checking for 10101010 in base 2 from value 170"
"codebase","2024-12-06T17:50:28-05:00","passed","checking for 1010101010 in base 2 from value 682"
"codebase","2024-12-06T17:50:29-05:00","passed","checking for 101010101010 in base 2 from value 2730"
"codebase","2024-12-06T17:50:29-05:00","passed","checking for 11 in base 2 from value 3"
"codebase","2024-12-06T17:50:29-05:00","passed","checking for 1212 in base 3 from value 50"
